,Unnamed: 0,country,NumofArrival2024,NumofArrival2023,NumofArrival2022,WorldBank,DataYEAR,final_WorldBank
0,2,United States,79.3,66.48,50.87,45037000.0,2020.0,45037000.0
1,10,Mexico,45.0,42.15,38.33,51128000.0,2020.0,51128000.0
2,12,Egypt,11.3,14.91,11.66,13026000.0,2019.0,13026000.0
3,18,Germany,39.6,34.8,28.46,12449000.0,2020.0,12449000.0
4,20,United Kingdom,39.4,37.22,30.74,11101000.0,2020.0,11101000.0
5,22,France,89.4,100.0,79.4,117109000.0,2020.0,117109000.0
6,24,Italy,64.5,57.25,49.81,38419000.0,2020.0,38419000.0
7,31,Spain,83.7,85.17,71.66,36410000.0,2020.0,36410000.0
8,36,Canada,22.1,18.34,12.82,32430000.0,2019.0,32430000.0
9,37,Poland,22.1,18.99,15.95,88515000.0,2019.0,88515000.0
10,46,Saudi Arabia,13.6,27.42,16.65,20292000.0,2019.0,20292000.0
11,67,Netherlands,20.1,20.3,16.07,7265000.0,2020.0,7265000.0
12,81,United Arab Emirates,16.7,28.15,22.65,8084000.0,2020.0,8084000.0
13,88,Portugal,24.6,26.54,22.25,4208000.0,2020.0,4208000.0
14,90,Greece,31.3,32.74,27.84,7406000.0,2020.0,7406000.0
15,91,Hungary,16.9,12.93,12.65,31641000.0,2020.0,31641000.0
16,94,Austria,31.9,30.91,26.21,15091000.0,2020.0,15091000.0
